Title;Language;Genre;Runtime;IMDB Score
ARQ;English;Science fiction/Thriller;88;6.4
Birders;English/Spanish;Documentary;37;6.4
Como Caído del Cielo;Spanish;Musical comedy;112;6.4
First Match;English;Sports-drama;102;6.4
Fractured;English;Thriller;100;6.4
Irreplaceable You;English;Drama;96;6.4
Isi & Ossi;German;Romantic comedy;113;6.4
John Was Trying to Contact Aliens;English;Documentary;16;6.4
Layla Majnun;Indonesian;Romantic drama;119;6.4
Murder to Mercy: The Cyntoia Brown Story;English;Documentary;97;6.4
My Own Man;English;Documentary;81;6.4
Nappily Ever After;English;Comedy-drama;98;6.4
Over the Moon;English;Animation/Musical/Adventure;95;6.4
Street Flow;French;Drama;96;6.4
Strong Island;English;Documentary;107;6.4
Sturgill Simpson Presents: Sound & Fury;English;Animation / Musicial;41;6.4
Take Your Pills;English;Documentary;87;6.4
The Heartbreak Club;Indonesian;Comedy-drama;101;6.4
The Mars Generation;English;Documentary;97;6.4
The Occupant;Spanish;Thriller;103;6.4
The Willoughbys;English;Animation/Comedy/Adventure;90;6.4
Triple Frontier;English;Action-thriller;125;6.4
Two Catalonias;Spanish/Catalan;Documentary;116;6.4
Walk. Ride. Rodeo.;English;Drama;99;6.4
Wheelman;English;Action thriller;82;6.4
When We First Met;English;Romantic comedy;97;6.4
A 3 Minute Hug;English/Spanish;Documentary;28;6.5
All the Bright Places;English;Romance;108;6.5
All Together Now;English;Drama;93;6.5
Altered Carbon: Resleeved;Japanese;Anime/Science fiction;74;6.5
Antoine Griezmann: The Making of a Legend;French;Documentary;60;6.5
Canvas ;English;Animation / Short;9;6.5
Chadwick Boseman: Portrait of an Artist;English;Documentary;21;6.5
Chopsticks;Hindi;Comedy;100;6.5
Da 5 Bloods;English;War drama;155;6.5
Dolly Parton: A MusiCares Tribute;English;Documentary;55;6.5
Eurovision Song Contest: The Story of Fire Saga;English;Musical comedy;123;6.5
Gerald's Game;English;Horror thriller;103;6.5
His House;English;Thriller;93;6.5
Jingle Jangle: A Christmas Journey;English;Family/Christmas musical;119;6.5
Life Overtakes Me;English/Swedish;Documentary;40;6.5
Lust Stories;Hindi;Drama;120;6.5
Monster;English;Drama;98;6.5
Mowgli: Legend of the Jungle;English;Adventure;104;6.5
Nobody Knows I'm Here;Spanish;Drama;91;6.5
Nobody Speak: Trials of the Free Press;English;Documentary;95;6.5
Oxygen;French;Science fiction thriller;101;6.5
Set It Up;English;Romantic comedy;105;6.5
The Incredible Jessica James;English;Comedy;83;6.5
Tigertail;English/Taiwanese/Mandarin;Drama;91;6.5
Tramps;English;Romance;83;6.5
What Did Jack Do?;English;Drama / Short;17;6.5
Bad Trip;English;Hidden-camera prank comedy;86;6.6
Bird Box;English;Psychological thriller;124;6.6
